"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
72,"Brake Caliper, ISR, 22-028",ISR,Brake System, $65.00 ,unit,,,,,,,,
73,"Brake Caliper, ISR, 22-034",ISR,Brake System, $240.00 ,unit,,,,,,,20-Apr-10,Same cost left and right calipers
74,"Brake Caliper, ISR, 22-036",ISR,Brake System, $77.50 ,unit,,,,,,,20-Mar-10,
75,"Brake Caliper, ISR, 22-048",ISR,Brake System, $96.00 ,unit,,,,,,,,
76,"Brake Caliper, ISR, 22-049",ISR,Brake System, $97.00 ,unit,,,,,,,20-Mar-10,
77,"Brake Caliper, Magura, 908.1",Magura,Brake System, $226.00 ,unit,,,,,,,20-Mar-10,
78,"Brake Caliper, Motorcycle, OEM (Any)",Any,Brake System,AIR,unit,,,,,,,24-Feb-09,
79,"Brake Caliper, NISSIN, 08-1CP-32-15",Nissin,Brake System, $82.00 ,unit,,,,,,,,
80,"Brake Caliper, NISSIN, 08-2CP-25-08",Nissin,Brake System, $96.00 ,unit,,,,,,,,
81,"Brake Caliper, NISSIN, 08-2CT-25-06",Nissin,Brake System, $109.00 ,unit,,,,,,,,
82,"Brake Caliper, NISSIN, 08-2CT-38-07",Nissin,Brake System, $109.00 ,unit,,,,,,,,
83,"Brake Caliper, Polaris, 1910825/1910826",Polaris,Brake System, $66.00 ,unit,,,,,,,1-Mar-09,Cost applies to either part number (similar part one left hand one right hand)
84,"Brake Caliper, PVM, 6-piston Monoblock Radial Mount",PVM,Brake System, $600.00 ,unit,,,,,,,19-Apr-09,
85,"Brake Caliper, PVM, Front 4-Piston Monoblock Radial Mount",PVM,Brake System, $385.00 ,unit,,,,,,,19-Apr-09,
86,"Brake Caliper, PVM, Rear 4-Piston Monoblock Radial Mount",PVM,Brake System, $225.00 ,unit,,,,,,,19-Apr-09,
87,"Brake Caliper, PVM, 2-Piston Monoblock Radial Mount",PVM,Brake System, $225.00 ,unit,,,,,,,19-Apr-09,
88,"Brake Caliper, Spiegler, S070",Spiegler,Brake System, $207.00 ,unit,,,,,,,23-May-10,Same price for left and righ calipers.
